,ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,ICD10 description,Risk factors description
973,E13.3311,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
974,E13.3311,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
975,E13.3312,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
976,E13.3312,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
977,E13.3313,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
978,E13.3313,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
979,E13.3319,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
980,E13.3319,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
981,E13.339,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
982,E13.339,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
983,E13.3391,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
984,E13.3391,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
985,E13.3392,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
986,E13.3392,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
987,E13.3393,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
988,E13.3393,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
989,E13.3399,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
990,E13.3399,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
991,E13.341,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
992,E13.341,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
993,E13.3411,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
994,E13.3411,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
995,E13.3412,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
996,E13.3412,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
997,E13.3413,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
998,E13.3413,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
999,E13.3419,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1000,E13.3419,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1001,E13.349,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1002,E13.349,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1003,E13.3491,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1004,E13.3491,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1005,E13.3492,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1006,E13.3492,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1007,E13.3493,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1008,E13.3493,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1009,E13.3499,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1010,E13.3499,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1011,E13.351,Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1012,E13.351,Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1013,E13.3511,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1014,E13.3511,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1015,E13.3512,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1016,E13.3512,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1017,E13.3513,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1018,E13.3513,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1019,E13.3519,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1020,E13.3519,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1021,E13.3521,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1022,E13.3521,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1023,E13.3522,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1024,E13.3522,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1025,E13.3523,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1026,E13.3523,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1027,E13.3529,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1028,E13.3529,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1029,E13.3531,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1030,E13.3531,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1031,E13.3532,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1032,E13.3532,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1033,E13.3533,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1034,E13.3533,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1035,E13.3539,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1036,E13.3539,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1037,E13.3541,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1038,E13.3541,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1039,E13.3542,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1040,E13.3542,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1041,E13.3543,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1042,E13.3543,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1043,E13.3549,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1044,E13.3549,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1045,E13.3551,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1046,E13.3551,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1047,E13.3552,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1048,E13.3552,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1049,E13.3553,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1050,E13.3553,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1051,E13.3559,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1052,E13.3559,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1053,E13.359,Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1054,E13.359,Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1055,E13.3591,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1056,E13.3591,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1057,E13.3592,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1058,E13.3592,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1059,E13.3593,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1060,E13.3593,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1061,E13.3599,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1062,E13.3599,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1063,E13.36,Other specified diabetes mellitus with diabetic cataract,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1064,E13.36,Other specified diabetes mellitus with diabetic cataract,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1065,E13.37X1,"Oth diab with diab macular edema, resolved fol trtmt, r eye",END003,Diabetes mellitus with complication,Y,0 Not Applicable,E13 Other specified diabetes mellitus,Diabetes
1066,E13.37X2,"Oth diab with diab macular edema, resolved fol trtmt, l eye",END003,Diabetes mellitus with complication,Y,0 Not Applicable,E13 Other specified diabetes mellitus,Diabetes
1067,E13.37X3,"Oth diab with diabetic macular edema, resolved fol trtmt, bi",END003,Diabetes mellitus with complication,Y,0 Not Applicable,E13 Other specified diabetes mellitus,Diabetes
1068,E13.37X9,"Oth diab with diab macular edema, resolved fol trtmt, unsp",END003,Diabetes mellitus with complication,Y,0 Not Applicable,E13 Other specified diabetes mellitus,Diabetes
1069,E13.39,Other specified diabetes mellitus with other diabetic ophthalmic complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1070,E13.39,Other specified diabetes mellitus with other diabetic ophthalmic complication,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1071,E13.40,"Other specified diabetes mellitus with diabetic neuropathy, unspecified",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1072,E13.40,"Other specified diabetes mellitus with diabetic neuropathy, unspecified",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1073,E13.41,Other specified diabetes mellitus with diabetic mononeuropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1074,E13.41,Other specified diabetes mellitus with diabetic mononeuropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1075,E13.42,Other specified diabetes mellitus with diabetic polyneuropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1076,E13.42,Other specified diabetes mellitus with diabetic polyneuropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1077,E13.43,Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1078,E13.43,Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1079,E13.44,Other specified diabetes mellitus with diabetic amyotrophy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1080,E13.44,Other specified diabetes mellitus with diabetic amyotrophy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1081,E13.49,Other specified diabetes mellitus with other diabetic neurological complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1082,E13.49,Other specified diabetes mellitus with other diabetic neurological complication,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1083,E13.51,Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1084,E13.51,Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1085,E13.52,Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1086,E13.52,Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1087,E13.59,Other specified diabetes mellitus with other circulatory complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1088,E13.59,Other specified diabetes mellitus with other circulatory complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1089,E13.610,Other specified diabetes mellitus with diabetic neuropathic arthropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1090,E13.610,Other specified diabetes mellitus with diabetic neuropathic arthropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1091,E13.618,Other specified diabetes mellitus with other diabetic arthropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1092,E13.618,Other specified diabetes mellitus with other diabetic arthropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1093,E13.620,Other specified diabetes mellitus with diabetic dermatitis,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1094,E13.620,Other specified diabetes mellitus with diabetic dermatitis,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1095,E13.621,Other specified diabetes mellitus with foot ulcer,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1096,E13.621,Other specified diabetes mellitus with foot ulcer,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1097,E13.622,Other specified diabetes mellitus with other skin ulcer,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1098,E13.622,Other specified diabetes mellitus with other skin ulcer,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1099,E13.628,Other specified diabetes mellitus with other skin complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
1100,E13.628,Other specified diabetes mellitus with other skin complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E13 Other specified diabetes mellitus,Diabetes
